job_id,job_title,job_tags,company_address,company_name,company_size,min_salary,max_salary,experiences,industries,languages,frameworks
1247590,Data Analyst,,Hà Nội,Công ty Cp Công nghệ và Truyền thông Dagoras,25-99 nhân viên,,,,DE,,
1397016,Frontend Developer - Fresher/Intern,"CSS, Git, HTML, HTML5, Javascript, REST API, CSS3, JS, Bootstrap, Git, NodeJS, REST API, TypeScript, ReactJS, NextJS, Tailwindcss, GRAPHQL",Hà Nội,NEZTECO JOINT STOCK COMPANY,25-99 nhân viên,,,1,Web-Front,JS,"ReactJS,NextJS"
1217797,Nhân Viên Kinh Doanh Bán Lẻ Máy Tính,"Marketing, Tin học văn phòng, ",Bắc Ninh,CÔNG TY CỔ PHẦN CÔNG NGHỆ MÁY TÍNH AQUATECH,1-9 nhân viên,8,15,,,,
1396764,Business Analyst - Chuyên Viên Phân Tích Nghiệp Vụ,,Hà Nội,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ VÀ NGUỒN LỰC TOPRATE,100-499 nhân viên,,15,2,BA,,
1396770,Business Analyst (HRM),,Hà Nội,Công ty Cổ phần Atomi Digital,100-499 nhân viên,10,20,1,BA,,
1396785,Odoo Developer,,Hà Nội,Công ty Cổ phần Atomi Digital,100-499 nhân viên,10,20,1,Web-Back,"Python,JS",Odoo
1250073,Devops Engineer,"Linux, Docker, Windows Server, Kubernetes, CI/CD, Wordpress, NodeJS, Python, Jenkins",Hồ Chí Minh,CÔNG TY TNHH SOFT WORLD VIỆT NAM,25-99 nhân viên,,,,DevOps,"Python,JS,Go",NodeJS
1383734,Coaching Data Analyst,,Hồ Chí Minh,CTY TNHH JUNG TALENTS,25-99 nhân viên,10,,,,,
1397054,"Nhân Viên Kinh Doanh - FPT Telecom, Quận 7 (Thu Nhập 12-20tr/Tháng)","Sales, Kinh Doanh Bán Lẻ, Kinh Doanh Sản Phẩm, ",Hồ Chí Minh,Công ty Cổ phần viễn thông FPT,5000+ nhân viên,12,20,,,,
1397148,Kỹ Thuật Viên Giao Hàng Điện Tử (ICT),,Hồ Chí Minh,CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ PHONG VŨ,500-1000 nhân viên,8,12,,,,
1258222,IT Helpdesk,,Hà Nội,CÔNG TY CỔ PHẦN NBK TÂY HỒ,100-499 nhân viên,10,15,,Helpdesk,,
1397207,Quản Lý Vận Hành Game - Local Game Operations,,Hồ Chí Minh,CÔNG TY TNHH DỊCH VỤ TƯ VẤN BÁT GIỚI,25-99 nhân viên,18,22,,,,
1397179,Game Designer - Viết Kịch Bản Game Casual/Hyper,,Hà Nội,CÔNG TY TNHH PLAYCITY,25-99 nhân viên,7,15,,,,
1397062,Chuyên Viên Phân Tích Dữ Liệu (Khối Mua Hàng),,Hà Nội,NHÀ SÁCH TIẾN THỌ,1000+ nhân viên,15,18,2,DE,,
884320,Nhân Viên Kinh Doanh - Không Yêu Cầu Kinh Nghiệm,"Excel cơ bản, Microsoft Word, ",Hồ Chí Minh,Công Ty TNHH Thương Mại & Dịch Vụ NiNa,1000+ nhân viên,7,30,,,,
1085867,Full Stack Developer,,Bắc Ninh,công ty TNHH Godgroup,100-499 nhân viên,10,40,,Web-Full,,
1396822,Senior Mobile QA,,Hà Nội,Công ty TNHH Dịch vụ công nghệ TP,100-499 nhân viên,,,3,QA,,
1397540,Nhân Viên Kỹ Thuật Điện Tử,,Hồ Chí Minh,Công ty CP KHKT Phượng Hải,25-99 nhân viên,7,10,,,,
1312413,Nhân Viên Kiểm Thử Phần Mềm,,Hà Nội,CÔNG TY CỔ PHẦN PHẦN MỀM THĂNG LONG,25-99 nhân viên,12,14,,Tester,,
1324368,Backend Developer,,Hà Nội,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG GTEL,100-499 nhân viên,25,40,3,Web-Back,Java,SpringBoot
1271821,C++ Engineer,"C++, ",Đà Nẵng,FPT Software,10000+ nhân viên,,,2,Software,CPP,
1360995,Lập Trình Viên Mobile Developer (React Native),"React Native, Native App, ",Hồ Chí Minh,CÔNG TY CỔ PHẦN THỂ THAO UNITY FITNESS,100-499 nhân viên,20,30,2,Mobile,JS,React Native
1361002,Lập Trinh Viên Backend Developer (Nodejs/Nestjs),"NodeJS, Nodejs Developer, ReactJS, NodeJS, ",Hồ Chí Minh,CÔNG TY CỔ PHẦN THỂ THAO UNITY FITNESS,100-499 nhân viên,20,30,,Web-Back,JS,"NodeJS,NestJS,ReactJS"
